#N;S_wide;rel_err_wide;S_narrow;rel_err_narrow
44600;0.9506330695;0.0064751427;0.9405524664;0.0041976150
45100;0.9260819526;0.0195181555;0.9392567627;0.0055694308
45600;0.9483346651;0.0040417255;0.9443052632;0.0002243715
46100;0.9361510088;0.0088576230;0.9436529284;0.0009150257
46600;0.9440486094;0.0004961017;0.9441579399;0.0003803488
47100;0.9662275670;0.0229856920;0.9476178344;0.0032827867
47600;0.9519931867;0.0079151559;0.9490689076;0.0048190988
48100;0.9627137953;0.0192655143;0.9506694387;0.0065136483
48600;0.9422070030;0.0024458876;0.9449777778;0.0004876480
49100;0.9367703707;0.0082018785;0.9401059063;0.0046704069
49600;0.9341874992;0.0109364730;0.9452612903;0.0007878146
50100;0.9465983870;0.0022034550;0.9443640719;0.0001621083
50600;0.9412795266;0.0034278459;0.9474687747;0.0031249710
51100;0.9294057562;0.0159991051;0.9403960861;0.0043631814
51600;0.9552563816;0.0113700374;0.9496465116;0.0054306325
52100;0.9412371163;0.0034727474;0.9470556622;0.0026875914
52600;0.9393135917;0.0055092637;0.9462661597;0.0018517120
53100;0.9398064756;0.0049874267;0.9431593220;0.0014376275
53600;0.9344859037;0.0106205396;0.9458865672;0.0014498214
54100;0.9199189271;0.0260432094;0.9430269871;0.0015777361
54600;0.9499559582;0.0057582566;0.9482109890;0.0039107844
55100;0.9584508622;0.0147521681;0.9495637024;0.0053429589
55600;0.9498316998;0.0056266990;0.9408172662;0.0039172603
56100;0.9347807726;0.0103083496;0.9470374332;0.0026682916
56600;0.9424975262;0.0021382985;0.9470671378;0.0026997411
57100;0.9476954243;0.0033649344;0.9415481611;0.0031434312
57600;0.9357555857;0.0092762740;0.9424000000;0.0022415536
58100;0.9541414667;0.0101896302;0.9425184165;0.0021161811
58600;0.9637523509;0.0203650768;0.9413569966;0.0033458251
59100;0.9473736204;0.0030242271;0.9448203046;0.0003209245
59600;0.9315959470;0.0136802582;0.9420402685;0.0026224165
60100;0.9384045037;0.0064717532;0.9413430948;0.0033605435
60600;0.9410899259;0.0036285840;0.9463366337;0.0019263257
61100;0.9303654489;0.0149830381;0.9445315876;0.0000152476
61600;0.9540635040;0.0101070878;0.9440181818;0.0005283166
62100;0.9449728281;0.0004824075;0.9457623188;0.0013182745
62600;0.9451904061;0.0007127665;0.9463744409;0.0019663538
63100;0.9708269200;0.0278552201;0.9432114105;0.0013824793
63600;0.9543285341;0.0103876862;0.9429962264;0.0016103037
64100;0.9394525757;0.0053621154;0.9486028081;0.0043256198
64600;0.9675481742;0.0243838743;0.9428433437;0.0017721671
65100;0.9516044594;0.0075035940;0.9412423963;0.0034671572
65600;0.9636178046;0.0202226269;0.9443195122;0.0002092855
66100;0.9277947595;0.0177047349;0.9389845688;0.0058576140
66600;0.9244787838;0.0212154976;0.9438054054;0.0007535919
67100;0.9312096540;0.0140892427;0.9455928465;0.0011388470
67600;0.9332387605;0.0119409425;0.9431573964;0.0014396662
68100;0.9445176429;0.0000004838;0.9450925110;0.0006091209
68600;0.9448612305;0.0003642545;0.9455510204;0.0010945640
69100;0.9326778473;0.0125348049;0.9450234443;0.0005359970
69600;0.9466510829;0.0022592463;0.9446896552;0.0001826005
70100;0.9507167186;0.0065637055;0.9492291013;0.0049887026
70600;0.9550001820;0.0110987881;0.9402016997;0.0045689864
71100;0.9510190656;0.0068838131;0.9462683544;0.0018540356
71600;0.9571415691;0.0133659645;0.9406055866;0.0041413744
72100;0.9511781834;0.0070522778;0.9400343967;0.0047461172
72600;0.9328429623;0.0123599907;0.9413553719;0.0033475452
73100;0.9470770196;0.0027102035;0.9436629275;0.0009044392
73600;0.9720815013;0.0291834980;0.9414782609;0.0032174375
74100;0.9493842884;0.0051530058;0.9447060729;0.0001999826
74600;0.9191719154;0.0268341020;0.9414434316;0.0032543127
75100;0.9467107888;0.0023224595;0.9453954727;0.0009298791
75600;0.9503516496;0.0061771916;0.9428571429;0.0017575573
76100;0.9314598324;0.0138243683;0.9433986859;0.0011842029
76600;0.9280451449;0.0174396413;0.9448167102;0.0003171189
77100;0.9519118589;0.0078290508;0.9472809339;0.0029260960
77600;0.9431474158;0.0014502331;0.9431443299;0.0014535003
78100;0.9410928018;0.0036255392;0.9468783611;0.0024998753
78600;0.9547731226;0.0108583908;0.9395725191;0.0052351264
79100;0.9524251772;0.0083725224;0.9430634640;0.0015391164
79600;0.9420456611;0.0026167071;0.9427296482;0.0018925412
80100;0.9416271004;0.0030598549;0.9449348315;0.0004421789
80600;0.9490541649;0.0048034902;0.9463622829;0.0019534816
81100;0.9464397456;0.0020354946;0.9438480888;0.0007084012
81600;0.9500528444;0.0058608341;0.9471529412;0.0027905848
82100;0.9512535704;0.0071320931;0.9404024361;0.0043564584
82600;0.9387863968;0.0060674270;0.9451874092;0.0007095935
83100;0.9423803263;0.0022623829;0.9476620939;0.0033296461
83600;0.9475593751;0.0032208935;0.9451980861;0.0007208977
84100;0.9523300356;0.0082717920;0.9421812128;0.0024731928
84600;0.9332561004;0.0119225841;0.9442553191;0.0002772493
85100;0.9371407901;0.0078096999;0.9480817861;0.0037739919
85600;0.9358691620;0.0091560260;0.9446803738;0.0001727739
86100;0.9599056650;0.0162924289;0.9403484321;0.0044136347
86600;0.9533531008;0.0093549541;0.9417699769;0.0029085855
87100;0.9452014612;0.0007244709;0.9490277842;0.0047755598
87600;0.9439128573;0.0006398281;0.9442027397;0.0003329174
88100;0.9530121011;0.0089939234;0.9447936436;0.0002926974
88600;0.9498285421;0.0056233558;0.9456866817;0.0012381943
